4,4,0,"male",37,10,"no",3,18,7
4,5,0,"female",27,4,"no",4,14,6
4,11,0,"female",32,15,"yes",1,12,1
5,16,0,"male",57,15,"yes",5,18,6
3,23,0,"male",22,0.75,"no",2,17,6
5,29,0,"female",32,1.5,"no",2,17,5
3,44,0,"female",22,0.75,"no",2,12,1
4,45,0,"male",57,15,"yes",2,14,4
2,47,0,"female",32,15,"yes",4,16,1
5,49,0,"male",22,1.5,"no",4,14,4
2,50,0,"male",37,15,"yes",2,20,7
4,55,0,"male",27,4,"yes",4,18,6
4,64,0,"male",47,15,"yes",5,17,6
4,80,0,"female",22,1.5,"no",2,17,5
4,86,0,"female",27,4,"no",4,14,5
5,93,0,"female",37,15,"yes",1,17,5
3,108,0,"female",37,15,"yes",2,18,4
4,114,0,"female",22,0.75,"no",3,16,5
5,115,0,"female",22,1.5,"no",2,16,5
5,116,0,"female",27,10,"yes",2,14,1
5,123,0,"female",22,1.5,"no",2,16,5
5,127,0,"female",22,1.5,"no",2,16,5
4,129,0,"female",27,10,"yes",4,16,5
5,134,0,"female",32,10,"yes",3,14,1
4,137,0,"male",37,4,"yes",2,20,6
5,139,0,"female",22,1.5,"no",2,18,5
5,147,0,"female",27,7,"no",4,16,1
4,151,0,"male",42,15,"yes",5,20,6
5,153,0,"male",27,4,"yes",3,16,5
4,155,0,"female",27,4,"yes",3,17,5
3,162,0,"male",42,15,"yes",4,20,6
5,163,0,"female",22,1.5,"no",3,16,5
4,165,0,"male",27,0.417,"no",4,17,6
4,168,0,"female",42,15,"yes",5,14,5
4,170,0,"male",32,4,"yes",1,18,6
3,172,0,"female",22,1.5,"no",4,16,5
4,184,0,"female",42,15,"yes",3,12,1
5,187,0,"female",22,4,"no",4,17,5
5,192,0,"male",22,1.5,"yes",1,14,3
5,194,0,"female",22,0.75,"no",3,16,1
5,210,0,"male",32,10,"yes",5,20,6
3,217,0,"male",52,15,"yes",5,18,6
4,220,0,"female",22,0.417,"no",5,14,1
1,224,0,"female",27,4,"yes",2,18,6
3,227,0,"female",32,7,"yes",5,17,5
5,228,0,"male",22,4,"no",3,16,5
5,239,0,"female",27,7,"yes",4,18,6
4,241,0,"female",42,15,"yes",2,18,5
5,245,0,"male",27,1.5,"yes",4,16,3
4,249,0,"male",42,15,"yes",2,20,6
5,262,0,"female",22,0.75,"no",5,14,3
4,265,0,"male",32,7,"yes",2,20,6
5,267,0,"male",27,4,"yes",5,20,6
